FISCAL YEAR,Month,FUND,ACCOUNT GROUP NAME,EXPENDITURE
2019,1,100,EXPENSES,30593.63
2019,1,100,EXPENSES,30593.63
2014,10,100,EXPENSES,30588.67
2014,10,100,EXPENSES,30583.04
2012,6,339,NOT DEF,30537
2014,10,100,EXPENSES,30532.1
2012,6,100,SALARIES AND BENEFITS,30520.55
2011,6,44E,NOT DEF,30476.74
2013,11,100,EXPENSES,30431.22
2013,11,100,EXPENSES,30309.28
2019,5,100,EXPENSES,30263.87
2015,3,44F,NOT DEF,30251.96
2017,7,100,EXPENSES,30247.84
2019,7,100,EXPENSES,30231.06
2015,10,670,NOT DEF,30201.34
2019,8,863,NOT DEF,30170.02
2015,5,100,EXPENSES,30143.01
2012,9,100,SALARIES AND BENEFITS,30134.75
2014,9,100,EXPENSES,30122.12
2014,9,100,EXPENSES,30121.75
2018,10,670,NOT DEF,30091.31
2018,1,100,SALARIES AND BENEFITS,30084.52
2012,3,100,SALARIES AND BENEFITS,30059.01
2018,11,100,EXPENSES,30049.01
2016,4,339,NOT DEF,30021.78
2014,5,339,NOT DEF,30016.65
2013,1,100,SALARIES AND BENEFITS,30012.22
2015,8,44D,NOT DEF,30010.76
2013,5,44F,NOT DEF,30000
2014,11,100,EXPENSES,30000
2017,5,670,NOT DEF,30000
2016,4,100,SALARIES AND BENEFITS,29998.68
2012,7,554,NOT DEF,29989
2013,8,100,EXPENSES,29985.54
2013,8,100,EXPENSES,29983.2
2020,4,100,SALARIES AND BENEFITS,29981.44
2012,8,554,NOT DEF,29980
2012,5,554,NOT DEF,29980
2012,10,554,NOT DEF,29980
2012,6,554,NOT DEF,29980
2012,2,554,NOT DEF,29980
2012,1,554,NOT DEF,29980
2012,11,554,NOT DEF,29980
2012,3,554,NOT DEF,29980
2012,4,554,NOT DEF,29980
2012,12,554,NOT DEF,29980
2012,9,554,NOT DEF,29980
2011,6,290,NOT DEF,29977.24
2020,4,100,SALARIES AND BENEFITS,29976.13
2018,3,44E,NOT DEF,29951.83
2015,8,100,EXPENSES,29911
2019,3,100,EXPENSES,29900.21
2016,9,298,NOT DEF,29875.6
2020,1,100,EXPENSES,29859.23
2019,10,100,EXPENSES,29859.05
2018,8,100,SALARIES AND BENEFITS,29856.1
2012,5,339,NOT DEF,29849.71
2020,3,100,EXPENSES,29793.58
2019,4,100,SALARIES AND BENEFITS,29742.51
2020,11,100,SALARIES AND BENEFITS,29734.25
2012,10,100,EXPENSES,29703.22
2012,7,100,SALARIES AND BENEFITS,29682.61
2016,9,100,EXPENSES,29636.82
2012,9,339,NOT DEF,29636.27
2017,4,100,EXPENSES,29626.93
2013,5,100,SALARIES AND BENEFITS,29622.04
2012,3,100,EXPENSES,29589.63
2019,1,100,SALARIES AND BENEFITS,29553.56
2019,1,100,SALARIES AND BENEFITS,29553.56
2016,3,100,EXPENSES,29542.07
2020,4,100,EQUIPMENT,29540.76
2017,9,100,EXPENSES,29534.05
2012,8,100,EXPENSES,29501.33
2014,7,298,NOT DEF,29495.4
2014,12,339,NOT DEF,29485.13
2016,11,100,SALARIES AND BENEFITS,29470.91
2012,12,100,SALARIES AND BENEFITS,29458.68
2014,8,44D,NOT DEF,29457.9
2011,6,554,NOT DEF,29453
2013,10,44D,NOT DEF,29444.63
2012,2,339,NOT DEF,29396.6
2016,5,100,SALARIES AND BENEFITS,29392.48
2011,6,857,NOT DEF,29391
2017,7,100,EXPENSES,29387.49
2018,8,100,EXPENSES,29359.03
2016,5,100,SALARIES AND BENEFITS,29334.97
2013,11,100,EXPENSES,29329.81
2012,7,100,EXPENSES,29328
2013,11,100,EXPENSES,29313.87
2014,2,100,EXPENSES,29303.19
2013,2,100,SALARIES AND BENEFITS,29298.15
2020,1,44D,NOT DEF,29277.42
2012,8,100,SALARIES AND BENEFITS,29272.78
2012,4,670,NOT DEF,29261.65
2012,5,100,EXPENSES,29255.83
2015,9,100,SALARIES AND BENEFITS,29250
2017,9,339,NOT DEF,29228.35
2012,2,100,SALARIES AND BENEFITS,29223.78
2015,12,100,EXPENSES,29213.69
2014,7,44F,NOT DEF,29205.98
2012,3,100,SALARIES AND BENEFITS,29203.74
2019,8,100,SALARIES AND BENEFITS,29184.76
2016,7,100,EQUIPMENT,29165.22
2012,11,100,EXPENSES,29137.5
2017,9,100,EXPENSES,29124.76
2017,4,100,SALARIES AND BENEFITS,29099.26
2013,11,100,EXPENSES,29090
2015,7,44F,NOT DEF,29070
2018,12,298,NOT DEF,29054.07
2016,10,100,EXPENSES,29030.66
2019,4,100,EXPENSES,29017.5
2019,1,100,EXPENSES,29017.5
2019,1,100,EXPENSES,29017.5
2019,11,100,EXPENSES,29017.5
2019,11,100,EXPENSES,29017.5
2015,5,100,EXPENSES,29010.5
2018,11,100,SALARIES AND BENEFITS,29006.11
2012,12,100,EXPENSES,29002
2016,12,100,SALARIES AND BENEFITS,28976.64
2013,7,670,NOT DEF,28951.09
2019,10,100,EXPENSES,28944.8
2012,7,100,EXPENSES,28924.28
2016,3,670,NOT DEF,28918.47
2020,11,100,SALARIES AND BENEFITS,28915.39
2014,4,100,EXPENSES,28907.5
2013,8,100,EXPENSES,28896.24
2015,11,100,EXPENSES,28879.32
2019,10,100,SALARIES AND BENEFITS,28869.69
2018,3,100,EXPENSES,28868.55
2014,11,100,SALARIES AND BENEFITS,28809
2015,6,863,NOT DEF,28808.95
2016,12,100,SALARIES AND BENEFITS,28805.63
2016,2,339,NOT DEF,28801.2
2019,10,100,SALARIES AND BENEFITS,28797.12
2017,4,100,EXPENSES,28789.43
2014,9,100,EXPENSES,28789.29
2019,5,44D,NOT DEF,28779
2012,12,100,EXPENSES,28776.37
2012,3,100,EXPENSES,28749.92
2015,12,100,EXPENSES,28741.19
2012,11,100,EXPENSES,28738.11
2016,10,670,NOT DEF,28733.86
2015,10,100,EXPENSES,28686.17
2013,3,100,SALARIES AND BENEFITS,28685.06
2014,7,100,EXPENSES,28679.85
2014,11,670,NOT DEF,28668.66
2013,2,100,EXPENSES,28646.1
2020,3,100,SALARIES AND BENEFITS,28640.21
2015,7,100,SALARIES AND BENEFITS,28628.85
2016,6,100,SALARIES AND BENEFITS,28626.03
2015,4,670,NOT DEF,28625.74
2013,8,100,EXPENSES,28619.7
2019,2,100,EXPENSES,28618.04
2019,2,100,EXPENSES,28618.04
2017,7,100,EXPENSES,28614.93
2018,3,100,EQUIPMENT,28605.6
2012,11,100,SALARIES AND BENEFITS,28601.24
2016,9,670,NOT DEF,28591.29
2019,3,100,SALARIES AND BENEFITS,28579.27
2013,2,100,EXPENSES,28565.9
2015,10,44D,NOT DEF,28530.75
2019,2,670,NOT DEF,28509.83
2019,2,670,NOT DEF,28509.83
2018,11,339,NOT DEF,28500
2013,2,100,EQUIPMENT,28492.95
2014,1,44D,NOT DEF,28492.62
2018,10,100,SALARIES AND BENEFITS,28471.8
2011,6,339,NOT DEF,28470
2019,7,670,NOT DEF,28467.02
2012,2,100,EXPENSES,28376.44
2014,6,100,SALARIES AND BENEFITS,28361.67
2016,11,100,EXPENSES,28351.79
2014,8,100,SALARIES AND BENEFITS,28338.81
2012,1,670,NOT DEF,28315.85
2019,11,100,SALARIES AND BENEFITS,28312.56
2019,11,100,SALARIES AND BENEFITS,28312.56
2018,9,100,EXPENSES,28297.42
2017,8,670,NOT DEF,28256.15
2019,11,100,SALARIES AND BENEFITS,28235.22
2019,11,100,SALARIES AND BENEFITS,28235.22
2012,9,100,EXPENSES,28214.47
2015,7,100,EXPENSES,28205.98
2014,10,298,NOT DEF,28186.65
2015,11,100,EXPENSES,28180.81
2017,5,100,EXPENSES,28173.21
2015,9,100,SALARIES AND BENEFITS,28138.04
2015,12,100,EXPENSES,28137.68
2019,12,100,EXPENSES,28092.42
2012,11,100,SALARIES AND BENEFITS,28075.91
2015,2,670,NOT DEF,28068.25
2016,10,100,SALARIES AND BENEFITS,28041.54
2013,5,100,EXPENSES,27992.52
2012,8,100,SALARIES AND BENEFITS,27951.62
2019,8,100,EXPENSES,27916.17
2014,8,100,EXPENSES,27908.21
2020,1,100,EXPENSES,27908.04
2014,12,100,SALARIES AND BENEFITS,27900
2019,9,44D,NOT DEF,27871.33
2012,3,100,EXPENSES,27851.79
2018,10,100,SALARIES AND BENEFITS,27816.15
2018,3,100,EXPENSES,27804.21
2016,9,100,SALARIES AND BENEFITS,27800.39
2015,3,100,EXPENSES,27770.93
2014,1,863,NOT DEF,27762.27
2014,6,339,NOT DEF,27759.36
2018,2,44D,NOT DEF,27750
2013,6,100,EXPENSES,27738.81
2013,11,100,EXPENSES,27728.91
2012,1,100,EQUIPMENT,27689.38
2016,11,100,EXPENSES,27688.99
2017,7,44F,NOT DEF,27679.48
2015,8,44F,NOT DEF,27653.3
2017,9,100,SALARIES AND BENEFITS,27652.9
2020,10,100,SALARIES AND BENEFITS,27630.16
2011,6,339,NOT DEF,27625.49
2012,2,670,NOT DEF,27605.9
2020,3,100,SALARIES AND BENEFITS,27605.56
2015,10,44D,NOT DEF,27600
2014,9,298,NOT DEF,27587.37
2017,9,100,SALARIES AND BENEFITS,27582.88
2018,4,100,SALARIES AND BENEFITS,27527.35
2016,7,100,SALARIES AND BENEFITS,27520.23
2011,6,554,NOT DEF,27500
2013,8,339,NOT DEF,27500
2011,6,47J,NOT DEF,27497.35
2016,10,670,NOT DEF,27483.59
2016,6,100,EXPENSES,27458.46
2017,9,44D,NOT DEF,27432.75
2020,2,100,SALARIES AND BENEFITS,27425
2013,1,44D,NOT DEF,27397.42
2013,4,100,EXPENSES,27396.26
2020,10,44D,NOT DEF,27373.63
2018,5,100,SALARIES AND BENEFITS,27372.84
2011,6,339,NOT DEF,27300
2015,7,100,EXPENSES,27295.66
2019,10,100,EXPENSES,27262.86
2012,7,100,EXPENSES,27243.68
2014,6,100,EXPENSES,27237.43
2018,3,100,SALARIES AND BENEFITS,27179.26
2016,2,100,EXPENSES,27170.66
2018,1,100,EXPENSES,27152.75
2013,7,100,EXPENSES,27152.19
2020,3,100,SALARIES AND BENEFITS,27151.09
2013,12,100,SALARIES AND BENEFITS,27138.42
2013,12,44D,NOT DEF,27120
2020,11,100,EXPENSES,27106.56
2013,7,44F,NOT DEF,27086.28
2014,9,100,EXPENSES,27049.05
2015,4,339,NOT DEF,27036.37
2019,9,554,SPECIAL,27033.45
2018,10,100,EXPENSES,27031.15
2014,4,44D,NOT DEF,27027.91
2016,2,44D,NOT DEF,27013.12
2013,9,100,SALARIES AND BENEFITS,27008.51
2013,7,100,SALARIES AND BENEFITS,27000.17
2011,6,339,NOT DEF,26999.72
2015,4,100,EXPENSES,26959.59
2014,2,100,EXPENSES,26953.04
2015,8,100,EXPENSES,26949.32
2012,6,44D,NOT DEF,26947.21
2014,10,100,EXPENSES,26934.01
2015,4,100,EXPENSES,26894.78
2011,6,885,NOT DEF,26873.25
2015,8,670,NOT DEF,26869.3
2019,2,100,SALARIES AND BENEFITS,26867.14
2019,2,100,SALARIES AND BENEFITS,26867.14
2016,8,100,EXPENSES,26862.04
2014,7,100,EXPENSES,26825.25
2015,7,100,EXPENSES,26809.58
2018,1,100,SALARIES AND BENEFITS,26776.15
2015,7,100,EXPENSES,26761.46
2014,3,100,EXPENSES,26725.71
2017,7,100,SALARIES AND BENEFITS,26724.26
2015,11,100,EXPENSES,26710.98
2015,8,339,NOT DEF,26675.19
2014,11,100,SALARIES AND BENEFITS,26672.21
2020,3,100,EXPENSES,26650
2012,1,100,EXPENSES,26648.23
2013,11,100,EXPENSES,26642.7
2013,5,100,SALARIES AND BENEFITS,26624.83
2013,4,100,SALARIES AND BENEFITS,26619.67
2019,10,100,EXPENSES,26610.61
2015,11,100,SALARIES AND BENEFITS,26594.89
2018,1,100,SALARIES AND BENEFITS,26591.65
2013,3,44F,NOT DEF,26591.27
2015,10,100,SALARIES AND BENEFITS,26588.31
2019,4,100,EXPENSES,26560.42
2016,12,100,EXPENSES,26556.8
2013,8,670,NOT DEF,26520.65
2013,8,339,NOT DEF,26500
2020,3,100,EXPENSES,26490.6
2014,8,100,SALARIES AND BENEFITS,26481.2
2012,11,100,SALARIES AND BENEFITS,26478.12
2014,1,339,NOT DEF,26475.99
2014,1,100,EXPENSES,26474.2
2014,6,339,NOT DEF,26444.2
2013,11,44D,NOT DEF,26400
2019,5,100,EXPENSES,26365.54
2015,2,100,EXPENSES,26351.03
2012,6,670,NOT DEF,26327.85
2012,7,44D,NOT DEF,26312
2017,5,100,EXPENSES,26247.9
2019,9,100,EXPENSES,26215.79
2015,3,100,SALARIES AND BENEFITS,26195.25
2015,8,100,SALARIES AND BENEFITS,26188.33
2012,4,100,EXPENSES,26186.35
2020,11,100,SALARIES AND BENEFITS,26170.74
2014,3,44D,NOT DEF,26160
2013,2,100,SALARIES AND BENEFITS,26138.29
2013,4,100,EXPENSES,26127.63
2018,5,339,NOT DEF,26111.98
2016,7,100,EXPENSES,26098.84
2016,10,100,EXPENSES,26071.96
2012,10,100,EXPENSES,26045.63
2012,12,44D,NOT DEF,26044.36
2014,4,339,NOT DEF,26018.68
2012,3,100,EXPENSES,26001.06
2019,11,100,SALARIES AND BENEFITS,25993.16
2019,11,100,SALARIES AND BENEFITS,25993.16
2014,5,44D,NOT DEF,25979.11
2017,4,100,EXPENSES,25932.68
2018,3,100,EXPENSES,25930.91
2015,1,100,EXPENSES,25930.23
2012,6,670,NOT DEF,25910.58
2012,10,100,EXPENSES,25879.98
2020,4,100,SALARIES AND BENEFITS,25877.75
2018,11,100,SALARIES AND BENEFITS,25876.17
2013,10,44D,NOT DEF,25874.44
2016,4,100,EXPENSES,25873.95
2014,11,100,EXPENSES,25838.39
2014,2,670,NOT DEF,25825.8
2020,1,100,EXPENSES,25815.75
2015,7,670,NOT DEF,25814.52
2014,4,100,EXPENSES,25783.88
2014,12,100,EXPENSES,25751.66
2018,12,100,SALARIES AND BENEFITS,25740.32
2012,9,44D,NOT DEF,25727.22
2012,5,100,EXPENSES,25726.56
2018,3,100,SALARIES AND BENEFITS,25712.62
2020,2,100,EXPENSES,25672.17
2016,3,339,NOT DEF,25669.94
2014,9,339,NOT DEF,25661.72
2017,8,100,SALARIES AND BENEFITS,25650
2017,4,670,NOT DEF,25642.88
2020,11,100,SALARIES AND BENEFITS,25616.61
2011,6,42B,NOT DEF,25615.88
2018,9,44D,NOT DEF,25599
2015,9,100,EXPENSES,25564.42
2017,4,339,NOT DEF,25563.45
2015,12,670,NOT DEF,25562
2014,4,100,EXPENSES,25539.08
2014,3,100,EXPENSES,25515.58
2014,1,670,NOT DEF,25511.75
2014,11,100,SALARIES AND BENEFITS,25504.68
2019,4,100,EXPENSES,25497.78
2012,5,670,NOT DEF,25496.93
2018,8,670,NOT DEF,25480.41
2013,12,554,NOT DEF,25470
2013,6,554,NOT DEF,25470
2013,11,554,NOT DEF,25470
2013,4,554,NOT DEF,25470
2013,3,554,NOT DEF,25470
2013,9,554,NOT DEF,25470
2013,10,554,NOT DEF,25470
2013,5,554,NOT DEF,25470
2013,2,554,NOT DEF,25470
2013,1,554,NOT DEF,25470
2013,8,554,NOT DEF,25470
2014,3,100,EXPENSES,25454.66
2013,7,554,NOT DEF,25453
2013,10,100,EXPENSES,25420.78
2019,4,100,EXPENSES,25418.67
2016,7,885,NOT DEF,25393.01
2012,8,863,NOT DEF,25366.8
2019,1,100,SALARIES AND BENEFITS,25353.92
2019,1,100,SALARIES AND BENEFITS,25353.92
2012,4,100,EXPENSES,25345.7
2012,12,100,EXPENSES,25330.6
2016,10,100,EXPENSES,25313.88
2020,10,100,EXPENSES,25311.95
2014,12,100,SALARIES AND BENEFITS,25303.16
2012,11,100,SALARIES AND BENEFITS,25263.57
2014,4,44D,NOT DEF,25255.3
2020,2,100,SALARIES AND BENEFITS,25230.13
2017,9,100,SALARIES AND BENEFITS,25222.92
2015,11,100,SALARIES AND BENEFITS,25216.88
2014,11,100,SALARIES AND BENEFITS,25200
2012,3,339,NOT DEF,25193.7
2014,8,298,NOT DEF,25184.56
2019,7,100,SALARIES AND BENEFITS,25174.46
2013,7,44D,NOT DEF,25165.57
2020,4,100,SALARIES AND BENEFITS,25164.98
2014,6,100,EXPENSES,25161.23
2014,4,100,EXPENSES,25148.91
2015,7,100,SALARIES AND BENEFITS,25065.79
2014,10,100,SALARIES AND BENEFITS,25050.4
2011,6,554,NOT DEF,25000
2012,9,339,NOT DEF,25000
2013,4,44D,NOT DEF,25000
2016,6,44F,NOT DEF,25000
2017,5,44F,NOT DEF,25000
2016,7,339,NOT DEF,24987.83
2014,6,100,EQUIPMENT,24979.14
2014,1,339,NOT DEF,24965
2015,9,100,SALARIES AND BENEFITS,24955.18
2014,3,100,EXPENSES,24932.15
2020,2,670,NOT DEF,24928.93
2014,12,100,SALARIES AND BENEFITS,24915.81
2011,6,885,NOT DEF,24900
2012,12,100,EXPENSES,24899.5
2011,6,339,NOT DEF,24867.75
2019,3,100,EXPENSES,24855.9
2013,10,100,EXPENSES,24820.98
2018,9,100,EXPENSES,24816.47
2015,8,339,NOT DEF,24796.8
2013,1,100,EXPENSES,24794.4
2013,11,100,EXPENSES,24753.64
2012,2,100,SALARIES AND BENEFITS,24750
2015,3,100,SALARIES AND BENEFITS,24750
2020,2,44D,NOT DEF,24747.81
2014,12,863,NOT DEF,24744
2015,6,100,EXPENSES,24742.61
2018,9,100,EXPENSES,24715.73
2013,6,44D,NOT DEF,24708.12
2016,6,339,NOT DEF,24704.79
2015,7,100,EXPENSES,24695.12
2017,7,100,SALARIES AND BENEFITS,24694.6
2012,11,100,EXPENSES,24670.74
2016,1,100,EXPENSES,24662.06
2012,10,44F,NOT DEF,24650.23
2014,11,100,EXPENSES,24599.67
2016,7,100,SALARIES AND BENEFITS,24572.67
2014,6,44D,NOT DEF,24564
2018,12,100,SALARIES AND BENEFITS,24557.75
2016,2,100,EXPENSES,24557.5
2013,9,100,EXPENSES,24550.13
2016,5,44F,NOT DEF,24525
2013,9,670,NOT DEF,24523.76
2018,10,100,SALARIES AND BENEFITS,24508.15
2020,3,44D,NOT DEF,24481.54
2014,7,100,EXPENSES,24475.19
2014,9,44D,NOT DEF,24466
2014,10,670,NOT DEF,24452.33
2016,4,44E,NOT DEF,24447.61
2016,2,100,EXPENSES,24428.45
2015,12,44D,NOT DEF,24415.47
2018,2,100,EXPENSES,24379.69
2018,5,44D,NOT DEF,24377.29
2012,2,100,EXPENSES,24365.52
2011,6,885,NOT DEF,24361.98
2019,10,100,SALARIES AND BENEFITS,24337.15
2019,3,100,EXPENSES,24335.82
2013,10,100,EXPENSES,24335.3
2017,5,100,EXPENSES,24332.12
2020,10,100,EXPENSES,24304.56
2013,4,100,SALARIES AND BENEFITS,24265.56
2016,4,100,EXPENSES,24254.15
2013,3,44D,NOT DEF,24251.79
2012,12,44D,NOT DEF,24241.58
2020,3,100,EXPENSES,24211.17
2017,9,670,NOT DEF,24206.8
2014,1,339,NOT DEF,24178.38
2013,1,670,NOT DEF,24134.95
2013,12,44F,NOT DEF,24130.98
2015,2,339,NOT DEF,24108.2
2013,4,100,EXPENSES,24104.51
2020,2,339,NOT DEF,24087.74
2013,8,339,NOT DEF,24073.33
2014,5,100,SALARIES AND BENEFITS,24073.22
2013,12,670,NOT DEF,24060.98
2019,11,100,SALARIES AND BENEFITS,24059.92
2019,11,100,SALARIES AND BENEFITS,24059.92
2013,11,100,EXPENSES,24059.81
2016,8,100,EXPENSES,24057.72
2019,9,100,EXPENSES,24049.03
2014,9,44D,NOT DEF,24037.61
2015,3,339,NOT DEF,24037.5
2018,3,100,EXPENSES,24019.27
2013,12,44D,NOT DEF,24000
2013,8,44D,NOT DEF,24000
2019,11,100,EXPENSES,23990.25
2019,11,100,EXPENSES,23990.25
2018,2,100,SALARIES AND BENEFITS,23984.11
2015,7,44D,NOT DEF,23982.17
2018,2,100,SALARIES AND BENEFITS,23970.77
2013,4,100,EXPENSES,23969.83
2015,9,100,EXPENSES,23949.36
2013,11,100,EXPENSES,23930.9
2014,3,44D,NOT DEF,23921.19
2014,5,670,NOT DEF,23889.18
2019,2,100,EXPENSES,23866.57
2019,2,100,EXPENSES,23866.57
2017,8,100,SALARIES AND BENEFITS,23858.16
2013,3,100,SALARIES AND BENEFITS,23850
2014,9,100,EXPENSES,23820.08
2012,1,670,NOT DEF,23808.4
2017,7,100,SALARIES AND BENEFITS,23807.62
2017,8,44D,NOT DEF,23800
2013,9,44D,NOT DEF,23792.1
2012,3,100,SALARIES AND BENEFITS,23783.4
2014,7,100,SALARIES AND BENEFITS,23775.99
2015,10,670,NOT DEF,23734.79
2016,2,100,SALARIES AND BENEFITS,23717
2018,10,339,NOT DEF,23677.13
2012,12,100,EXPENSES,23667.27
2019,2,100,EXPENSES,23665.2
2019,2,100,EXPENSES,23665.2
2017,7,100,EXPENSES,23657.84
2019,11,100,SALARIES AND BENEFITS,23650.8
2019,11,100,SALARIES AND BENEFITS,23650.8
2020,1,100,SALARIES AND BENEFITS,23650.41
2016,10,339,NOT DEF,23644.28
2013,9,100,EXPENSES,23627.7
2019,5,100,SALARIES AND BENEFITS,23618.92
2016,2,100,SALARIES AND BENEFITS,23615.32
2014,10,100,EXPENSES,23609.49
2011,6,339,NOT DEF,23571.44
2016,2,44D,NOT DEF,23563.22
2018,4,100,EXPENSES,23547.19
2015,10,100,EQUIPMENT,23544
2013,9,100,EXPENSES,23523.4
2019,1,100,SALARIES AND BENEFITS,23502.81
2019,1,100,SALARIES AND BENEFITS,23502.81
2019,12,100,SALARIES AND BENEFITS,23502.27
2012,10,670,NOT DEF,23500
2019,5,44D,NOT DEF,23500
2013,9,100,EXPENSES,23469.59
2013,2,100,EXPENSES,23465.33
2020,3,100,EXPENSES,23457.94
2011,6,298,NOT DEF,23457.03
2012,6,339,NOT DEF,23430
2011,6,296,NOT DEF,23425.55
2016,8,100,EXPENSES,23425.53
2020,12,44D,NOT DEF,23405.56
2015,6,100,EXPENSES,23405.5
2013,7,100,EXPENSES,23405.14
2013,4,100,SALARIES AND BENEFITS,23400
2011,6,44D,NOT DEF,23389.03
2017,5,339,NOT DEF,23387.46
2018,8,670,NOT DEF,23383.99
2011,6,44D,NOT DEF,23383.91
2013,2,100,EXPENSES,23381.86
2015,2,100,EXPENSES,23380.9
2011,6,885,NOT DEF,23370.33
2019,5,670,NOT DEF,23364.45
2013,5,100,EXPENSES,23361.61
2013,7,44D,NOT DEF,23360.74
2014,9,100,EXPENSES,23357.23
2014,2,100,SALARIES AND BENEFITS,23347.36
2013,11,670,NOT DEF,23344.7
2019,5,100,SALARIES AND BENEFITS,23315.58
2013,1,100,EXPENSES,23311.66
2020,10,100,SALARIES AND BENEFITS,23307.31
2014,12,670,NOT DEF,23280.32
2014,2,100,SALARIES AND BENEFITS,23246.56
2017,4,100,EXPENSES,23144.25
2016,8,100,EXPENSES,23143.5
2016,1,100,SALARIES AND BENEFITS,23142.76
2013,5,100,EXPENSES,23134
2013,3,100,EXPENSES,23134
2013,1,100,EXPENSES,23134
2015,5,100,EXPENSES,23119.89
2014,6,100,EXPENSES,23113.67
2012,5,44D,NOT DEF,23104.49
2016,6,885,NOT DEF,23087
2019,8,100,EXPENSES,23068.81
2017,7,670,NOT DEF,23061.09
2015,3,100,EXPENSES,23038.14
2016,7,100,EXPENSES,23032.8
2013,11,339,NOT DEF,22982.03
2018,4,100,EXPENSES,22976.99
2020,12,44D,SPECIAL,22975.1
2016,10,100,SALARIES AND BENEFITS,22972.5
2015,1,670,NOT DEF,22961.8
2013,8,100,SALARIES AND BENEFITS,22950
2013,3,100,EXPENSES,22948.32
2016,10,100,EXPENSES,22947.85
2013,9,100,EXPENSES,22938.57
2012,12,339,NOT DEF,22935.48
2012,8,339,NOT DEF,22935.48
2012,2,339,NOT DEF,22935.48
2014,12,100,EXPENSES,22910.42
2015,11,100,EXPENSES,22890
2018,4,100,EXPENSES,22869.18
2013,6,44D,NOT DEF,22848.78
2018,5,339,NOT DEF,22846.06
2015,4,100,EXPENSES,22829.81
2014,4,100,EXPENSES,22825.29
2015,9,44D,NOT DEF,22821.79
2018,11,100,EXPENSES,22816.74
2015,12,100,EXPENSES,22813.17
2016,6,863,NOT DEF,22798.12
2015,4,44D,NOT DEF,22782.09
2015,1,100,EXPENSES,22769.67
2012,2,100,EXPENSES,22764.65
2018,9,670,NOT DEF,22747.87
2020,12,100,SALARIES AND BENEFITS,22721.94
2017,4,339,NOT DEF,22714.92
2014,9,100,EXPENSES,22704.79
2019,2,100,SALARIES AND BENEFITS,22700.92
2019,2,100,SALARIES AND BENEFITS,22700.92
2011,6,45D,NOT DEF,22692.39
2018,3,339,NOT DEF,22690.72
2019,11,100,SALARIES AND BENEFITS,22679.86
2019,11,100,SALARIES AND BENEFITS,22679.86
2015,8,670,NOT DEF,22655.89
2014,8,670,NOT DEF,22655.01
2015,7,100,SALARIES AND BENEFITS,22649.47
2014,7,44D,NOT DEF,22625.05
2015,10,100,EXPENSES,22607.37
2020,1,100,SALARIES AND BENEFITS,22606.61
2011,6,41Y,NOT DEF,22606.09
2018,11,100,EXPENSES,22560.18
2012,12,100,SALARIES AND BENEFITS,22509.65
2013,11,100,EXPENSES,22502.26
2012,3,100,SALARIES AND BENEFITS,22500
2014,3,100,SALARIES AND BENEFITS,22500
2016,9,100,EXPENSES,22497.25
2018,3,44D,NOT DEF,22485.43
2016,10,100,EXPENSES,22477.71
2019,11,100,EQUIPMENT,22469.4
2019,11,100,EQUIPMENT,22469.4
2011,6,554,NOT DEF,22449
2016,12,100,EXPENSES,22441.69
2016,5,100,EXPENSES,22426.76
2015,6,100,SALARIES AND BENEFITS,22410.28
2012,4,339,NOT DEF,22398.46
2016,1,100,EXPENSES,22398.16
2016,4,100,EXPENSES,22398.16
2017,7,100,EXPENSES,22398.14
2013,9,100,EXPENSES,22389.03
2018,12,670,NOT DEF,22387.17
2016,12,100,EXPENSES,22377.79
2012,11,100,EXPENSES,22376.42
2018,8,100,EXPENSES,22374.07
2019,2,100,EXPENSES,22340.75
2019,2,100,EXPENSES,22340.75
2012,6,885,NOT DEF,22329.01
2015,6,26R,NOT DEF,22323.73
2018,1,100,EXPENSES,22286.3
2016,8,100,SALARIES AND BENEFITS,22277.39
2014,4,100,EXPENSES,22270.57
2016,9,100,SALARIES AND BENEFITS,22250.97
2016,4,100,SALARIES AND BENEFITS,22226.62
2019,3,100,EXPENSES,22201.65
2012,1,100,EXPENSES,22175.29
2018,1,100,EXPENSES,22168.32
2014,6,100,EXPENSES,22158.52
2014,1,290,NOT DEF,22157.47
2018,12,100,EXPENSES,22154.01
2013,12,100,SALARIES AND BENEFITS,22149.89
2012,8,100,EXPENSES,22143.71
2020,11,339,NOT DEF,22132.12
2013,5,339,NOT DEF,22114.35
2018,4,100,EXPENSES,22085.76
2020,11,100,EXPENSES,22075.27
2019,4,100,SALARIES AND BENEFITS,22058.45
2017,7,44D,NOT DEF,22058
2014,3,100,EXPENSES,22055.8
2016,9,100,EXPENSES,22043.07
2014,1,100,EXPENSES,22037.72
2015,9,100,SALARIES AND BENEFITS,22035.06
2012,12,100,EXPENSES,22032.68
2012,1,100,EXPENSES,22032
2012,11,100,EXPENSES,22032
2012,12,100,EXPENSES,22032
2012,7,100,EXPENSES,22032
2014,7,100,EXPENSES,22028.79
2012,3,44D,NOT DEF,22023.7
2016,6,885,NOT DEF,22014.77
2015,10,100,EXPENSES,22008.71
2015,2,100,SALARIES AND BENEFITS,21995.4
2017,8,100,EQUIPMENT,21995
2016,10,100,EXPENSES,21994.3
2012,11,339,NOT DEF,21980.46
2019,1,100,SALARIES AND BENEFITS,21948.14
2019,1,100,SALARIES AND BENEFITS,21948.14
2014,4,100,SALARIES AND BENEFITS,21945.84
2013,7,100,SALARIES AND BENEFITS,21945.53
